id,status_group
50785,2.00E+00
51630,0.00E+00
17168,2.00E+00
45559,2.00E+00
49871,0.00E+00
52449,0.00E+00
24806,0.00E+00
28965,2.00E+00
36301,2.00E+00
54122,0.00E+00
419,0.00E+00
45750,2.00E+00
653,2.00E+00
14017,2.00E+00
44607,0.00E+00
40228,0.00E+00
27714,0.00E+00
28785,0.00E+00
28330,0.00E+00
18532,2.00E+00
69961,0.00E+00
55083,0.00E+00
8691,2.00E+00
30331,2.00E+00
70970,0.00E+00
61136,0.00E+00
28799,2.00E+00
46825,2.00E+00
44718,0.00E+00
37350,0.00E+00
65738,0.00E+00
3271,2.00E+00
42658,2.00E+00
67523,0.00E+00
37034,0.00E+00
42432,0.00E+00
27420,0.00E+00
707,0.00E+00
48489,2.00E+00
51008,2.00E+00
72562,0.00E+00
10275,0.00E+00
53540,2.00E+00
43291,2.00E+00
8813,0.00E+00
62343,2.00E+00
1649,0.00E+00
8822,0.00E+00
10352,2.00E+00
50878,0.00E+00
15266,0.00E+00
51956,0.00E+00
44099,2.00E+00
59,2.00E+00
51359,2.00E+00
15962,2.00E+00
17853,0.00E+00
42040,2.00E+00
72243,0.00E+00
63653,2.00E+00
26510,0.00E+00
72053,0.00E+00
29351,0.00E+00
51897,2.00E+00
20376,0.00E+00
26804,0.00E+00
67303,0.00E+00
69780,2.00E+00
45374,0.00E+00
54665,2.00E+00
39341,2.00E+00
8869,1.00E+00
20691,2.00E+00
19693,2.00E+00
14321,2.00E+00
63059,0.00E+00
67403,0.00E+00
28912,0.00E+00
12549,0.00E+00
24328,2.00E+00
13750,2.00E+00
1574,2.00E+00
44149,0.00E+00
53917,0.00E+00
22705,0.00E+00
66465,0.00E+00
15644,1.00E+00
20773,2.00E+00
33092,2.00E+00
54392,0.00E+00
37850,0.00E+00
5576,2.00E+00
60840,0.00E+00
9971,2.00E+00
57508,0.00E+00
25872,0.00E+00
43978,0.00E+00
38181,0.00E+00
24325,2.00E+00
2724,2.00E+00
34794,2.00E+00
56525,2.00E+00
63155,2.00E+00
67247,0.00E+00
23387,0.00E+00
17873,2.00E+00
18197,0.00E+00
24834,0.00E+00
4091,0.00E+00
33261,0.00E+00
44384,0.00E+00
62096,2.00E+00
64554,0.00E+00
68314,0.00E+00
53,0.00E+00
23426,0.00E+00
38259,2.00E+00
16631,0.00E+00
43162,0.00E+00
44492,2.00E+00
38884,2.00E+00
13690,0.00E+00
60335,0.00E+00
31856,0.00E+00
67891,0.00E+00
25564,0.00E+00
55293,0.00E+00
31866,0.00E+00
71178,0.00E+00
60279,0.00E+00
28615,0.00E+00
8744,0.00E+00
48308,0.00E+00
49626,2.00E+00
38098,0.00E+00
30309,1.00E+00
8015,0.00E+00
3496,1.00E+00
56971,0.00E+00
68616,0.00E+00
8646,0.00E+00
74104,0.00E+00
37501,2.00E+00
33001,0.00E+00
69202,2.00E+00
68409,0.00E+00
51847,2.00E+00
55647,2.00E+00
17923,2.00E+00
71743,2.00E+00
51539,0.00E+00
73819,0.00E+00
66881,0.00E+00
58768,0.00E+00
2648,2.00E+00
68933,0.00E+00
12427,0.00E+00
16633,2.00E+00
24123,0.00E+00
58551,2.00E+00
17132,0.00E+00
3027,2.00E+00
2651,2.00E+00
25998,2.00E+00
63400,0.00E+00
50028,2.00E+00
67897,0.00E+00
21425,0.00E+00
71756,0.00E+00
16862,0.00E+00
15420,2.00E+00
47784,0.00E+00
712,0.00E+00
54368,2.00E+00
2866,0.00E+00
51130,1.00E+00
27993,0.00E+00
21621,0.00E+00
66038,0.00E+00
42182,0.00E+00
17694,2.00E+00
57759,0.00E+00
47978,0.00E+00
52359,0.00E+00
69656,2.00E+00
24086,0.00E+00
43579,2.00E+00
43284,2.00E+00
2877,2.00E+00
21171,0.00E+00
40982,0.00E+00
48396,0.00E+00
13323,0.00E+00
28467,0.00E+00
2768,0.00E+00
73593,2.00E+00
65164,0.00E+00
69976,2.00E+00
52145,1.00E+00
49259,0.00E+00
23542,0.00E+00
69848,2.00E+00
9305,0.00E+00
14359,2.00E+00
28925,2.00E+00
21243,0.00E+00
10616,2.00E+00
73667,0.00E+00
20566,0.00E+00
63711,0.00E+00
72840,0.00E+00
31651,2.00E+00
3782,0.00E+00
6799,2.00E+00
21402,0.00E+00
35390,0.00E+00
12636,2.00E+00
36887,0.00E+00
20086,2.00E+00
5634,0.00E+00
48029,0.00E+00
29927,2.00E+00
2930,0.00E+00
41800,0.00E+00
68349,0.00E+00
61678,2.00E+00
30270,0.00E+00
4678,0.00E+00
9392,2.00E+00
20735,0.00E+00
49300,2.00E+00
70339,2.00E+00
25572,0.00E+00
61445,2.00E+00
32190,0.00E+00
39189,0.00E+00
14853,1.00E+00
52207,0.00E+00
48035,0.00E+00
73122,0.00E+00
16352,0.00E+00
42721,2.00E+00
15116,0.00E+00
7837,2.00E+00
56907,0.00E+00
46382,0.00E+00
64521,2.00E+00
67362,0.00E+00
61861,0.00E+00
72139,2.00E+00
3398,0.00E+00
62911,0.00E+00
48152,0.00E+00
48001,0.00E+00
64118,0.00E+00
65793,0.00E+00
61557,0.00E+00
32352,0.00E+00
1830,0.00E+00
50553,0.00E+00
51961,0.00E+00
38481,0.00E+00
48371,0.00E+00
56540,2.00E+00
18142,0.00E+00
72934,2.00E+00
39300,2.00E+00
40115,2.00E+00
